street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
SE 79TH AVE,14,1.199,28,32,7.0,0,0.0
NE 109TH AVE,10,1.196,22,32,7.0,0,0.0
NE 117TH AVE,16,1.191,22,28,5.0,0,0.0
NE 69TH AVE,12,1.188,24,28,5.0,0,0.0
SE 91ST AVE,14,1.176,21,36,9.0,0,0.0
N MARYLAND AVE,18,1.171,24,36,9.0,0,0.0
N POLK AVE,15,1.166,24,36,9.0,0,0.0
NE 50TH AVE,15,1.158,18,34,8.0,1,0.053
SE SHERRETT ST,14,1.156,16,36,9.0,2,0.106
SE 25TH AVE,21,1.156,24,36,9.0,0,0.0
SE 113TH AVE,12,1.15,28,32,7.0,0,0.0
NE 128TH AVE,16,1.137,22,48,15.0,0,0.0
N DEKUM ST,22,1.128,24,40,11.0,0,0.0
NE 113TH AVE,14,1.127,18,32,7.0,1,0.058
SE 154TH AVE,14,1.127,20,56,19.0,0,0.0
NE FARGO ST,9,1.124,20,40,11.0,0,0.0
SE 72ND AVE,17,1.124,24,30,6.0,0,0.0
N WILLIAMS AVE,17,1.124,22,30,6.0,0,0.0
NE HOLMAN ST,16,1.117,20,36,9.0,0,0.0
NE BRYANT ST,16,1.117,16,30,6.0,1,0.157
N AMHERST ST,15,1.112,26,32,7.0,0,0.0
SE 120TH AVE,11,1.111,18,32,7.0,1,0.06
SE FLAVEL ST,12,1.109,28,32,7.0,0,0.0
SW 4TH AVE,13,1.106,12,28,5.0,4,0.336
N BALDWIN ST,11,1.101,16,30,6.0,1,0.13
SE 140TH AVE,16,1.097,12,32,7.0,2,0.085
NE 51ST AVE,12,1.093,24,36,9.0,0,0.0
SE 60TH AVE,15,1.09,24,32,7.0,0,0.0
NE 84TH AVE,14,1.084,20,32,7.0,0,0.0
NE ROSE PKWY,14,1.078,32,44,13.0,0,0.0
N CURTIS AVE,12,1.074,20,36,9.0,0,0.0
SW 47TH AVE,16,1.071,12,32,7.0,4,0.269
SW 25TH AVE,14,1.06,12,36,9.0,2,0.16
SW 60TH AVE,12,1.059,12,32,7.0,1,0.244
